accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
12,Amritsar,Punjab,31.636408,74.874133,2023-11-28,9:00,9,Tuesday,0,highway,5,1,rain,low,17,medium,weather,major,4,1,1,,0.6
13,Chandigarh Sector 22,Chandigarh,30.731443,76.767787,2024-03-25,8:00,8,Monday,0,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,1,Holi,0.7
14,Jamshedpur,Jharkhand,22.814446,86.192738,2025-02-09,18:00,18,Sunday,1,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,1,,0.6
15,Hubli,Karnataka,15.356917,75.130317,2024-03-18,8:00,8,Monday,0,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,1,,0.45
16,Lucknow,Uttar Pradesh,26.846734,80.953119,2023-08-03,11:00,11,Thursday,0,urban,6,0,rain,low,20,low,overspeeding,major,5,3,0,,0.45
17,Margao,Goa,15.269139,73.957253,2023-09-26,21:00,21,Tuesday,0,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,0,,0.65
18,Hubli,Karnataka,15.364871,75.123216,2024-08-14,18:00,18,Wednesday,0,urban,4,1,fog,low,21,high,distraction,fatal,1,1,1,,1.0
19,Tiruchirappalli,Tamil Nadu,10.77956,78.693872,2024-02-04,2:00,2,Sunday,1,urban,5,1,fog,low,36,low,poor road,minor,2,0,0,,0.45
20,Brahmapur,Odisha,19.318889,84.803359,2022-11-04,1:00,1,Friday,0,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,0,,0.65
21,Bhagalpur,Bihar,25.239569,86.97508,2023-12-09,0:00,0,Saturday,1,urban,3,0,fog,low,25,medium,weather,minor,4,1,0,,0.45
22,Gaya,Bihar,24.785629,85.005574,2024-08-06,3:00,3,Tuesday,0,urban,1,0,rain,low,26,medium,distraction,major,3,1,0,,0.45
23,Kargil,Ladakh,34.548502,76.126499,2023-07-26,23:00,23,Wednesday,0,urban,2,0,clear,high,36,medium,distraction,minor,3,2,0,,0.1
24,Kochi,Kerala,9.928265,76.258251,2023-03-26,1:00,1,Sunday,1,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,0,,0.3
25,Lucknow,Uttar Pradesh,26.844611,80.953345,2022-11-02,14:00,14,Wednesday,0,highway,4,0,rain,low,32,high,overspeeding,major,1,0,0,,0.65
26,Hyderabad,Telangana,17.38528,78.498476,2024-10-11,13:00,13,Friday,0,urban,6,0,clear,high,39,high,weather,major,1,1,0,,0.3
27,Srinagar,Jammu and Kashmir,34.08057,74.786476,2023-09-05,5:00,5,Tuesday,0,highway,4,1,rain,medium,29,high,weather,minor,1,1,0,,0.45
28,Arrah,Bihar,25.553743,84.659786,2024-01-09,8:00,8,Tuesday,0,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,1,,0.6
29,Gurugram,Haryana,28.461344,77.03211,2025-04-08,17:00,17,Tuesday,0,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,1,,0.8
30,Thane,Maharashtra,19.219561,72.967045,2023-05-21,17:00,17,Sunday,1,rural,3,1,clear,high,36,high,distraction,minor,1,1,1,,0.45
31,Howrah,West Bengal,22.584374,88.316462,2024-12-31,7:00,7,Tuesday,0,rural,6,0,clear,high,24,low,poor road,minor,3,1,0,,0.1
32,New Delhi,Delhi,28.607669,77.21145,2024-10-11,7:00,7,Friday,0,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,0,,0.45
33,Jaipur,Rajasthan,26.915141,75.786341,2023-10-09,3:00,3,Monday,0,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,0,,0.25
34,Diu,Dadra and Nagar Haveli and Daman and Diu,20.710922,70.99417,2022-06-02,17:00,17,Thursday,0,rural,1,1,fog,low,27,medium,poor road,minor,5,2,1,,0.6
35,Daman,Dadra and Nagar Haveli and Daman and Diu,20.403937,72.839487,2023-12-21,4:00,4,Thursday,0,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,0,,0.1
36,Hyderabad,Telangana,17.395875,78.495248,2024-01-02,14:00,14,Tuesday,0,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,0,,0.65
37,Guwahati,Assam,26.14512,91.727218,2023-02-19,18:00,18,Sunday,1,highway,5,1,clear,high,32,low,weather,fatal,4,4,1,,0.45
38,Ahmedabad,Gujarat,23.011957,72.578648,2023-12-04,6:00,6,Monday,0,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,0,,0.25
39,Bangalore,Karnataka,12.981875,77.603366,2023-09-02,1:00,1,Saturday,1,rural,4,1,rain,medium,30,high,weather,minor,4,3,0,,0.45
40,Kochi,Kerala,9.925268,76.267986,2024-11-19,22:00,22,Tuesday,0,highway,5,1,rain,medium,40,high,distraction,minor,2,2,0,,0.45
41,Gwalior,Madhya Pradesh,26.227665,78.192766,2023-07-21,9:00,9,Friday,0,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,1,,0.8
42,Kolkata,West Bengal,22.578324,88.358179,2022-03-01,22:00,22,Tuesday,0,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,0,,0.25
43,Srinagar,Jammu and Kashmir,34.089299,74.808392,2025-01-13,13:00,13,Monday,0,highway,2,1,clear,high,20,low,weather,minor,1,1,0,,0.1
44,Noida,Uttar Pradesh,28.538951,77.392139,2022-11-01,0:00,0,Tuesday,0,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,0,,0.25
45,Gaya,Bihar,24.794867,85.009331,2024-06-21,9:00,9,Friday,0,urban,2,1,rain,medium,21,high,distraction,minor,1,1,1,,0.6
46,Mumbai,Maharashtra,19.069976,72.870353,2025-04-11,11:00,11,Friday,0,urban,6,1,rain,low,31,low,poor road,major,4,4,0,,0.45
47,Salem,Tamil Nadu,11.669536,78.138504,2023-02-06,15:00,15,Monday,0,rural,2,1,rain,medium,16,medium,poor road,major,3,3,0,,0.25
48,Chennai,Tamil Nadu,13.086246,80.268293,2022-05-23,14:00,14,Monday,0,highway,4,0,rain,low,22,high,weather,major,2,0,0,,0.65
49,Vadodara,Gujarat,22.301013,73.185352,2024-12-23,13:00,13,Monday,0,rural,3,1,fog,low,31,medium,distraction,major,2,2,0,,0.45
50,Kanpur,Uttar Pradesh,26.441296,80.329502,2024-02-29,9:00,9,Thursday,0,highway,2,1,clear,high,32,high,overspeeding,major,3,1,1,,0.45
51,Howrah,West Bengal,22.58937,88.324124,2023-02-23,7:00,7,Thursday,0,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,0,,0.45
52,Gwalior,Madhya Pradesh,26.218821,78.186284,2024-07-21,2:00,2,Sunday,1,urban,4,0,fog,low,15,low,drunk driving,major,1,0,0,,0.45
53,Roorkee,Uttarakhand,29.858307,77.88338,2023-03-14,21:00,21,Tuesday,0,rural,1,1,rain,low,29,medium,poor road,minor,3,0,0,,0.45
54,Chennai,Tamil Nadu,13.077842,80.259197,2024-09-30,3:00,3,Monday,0,highway,5,1,rain,low,25,low,weather,major,3,1,0,,0.45
55,Tiruchirappalli,Tamil Nadu,10.799607,78.710856,2022-11-17,6:00,6,Thursday,0,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,0,,0.45
56,Dwarka,Delhi,28.573432,77.055334,2023-09-07,0:00,0,Thursday,0,urban,3,0,clear,high,40,low,distraction,major,2,1,0,,0.1
57,Mumbai,Maharashtra,19.084281,72.876041,2023-06-04,6:00,6,Sunday,1,urban,6,0,fog,low,21,medium,weather,major,2,1,0,,0.45
58,Dehradun,Uttarakhand,30.306998,78.043259,2022-06-28,2:00,2,Tuesday,0,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,0,,0.1
59,Bangalore,Karnataka,12.965644,77.593687,2025-03-28,23:00,23,Friday,0,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,0,,0.85
60,Howrah,West Bengal,22.574079,88.316064,2024-04-17,14:00,14,Wednesday,0,urban,5,1,clear,high,19,low,poor road,minor,2,0,0,,0.1
61,Coimbatore,Tamil Nadu,11.027491,76.958959,2024-12-31,9:00,9,Tuesday,0,rural,1,1,rain,medium,39,medium,distraction,major,1,0,1,,0.4
62,Pune,Maharashtra,18.51216,73.867407,2023-05-13,14:00,14,Saturday,1,urban,6,1,rain,medium,27,high,distraction,major,3,1,0,,0.45
63,Mohali,Punjab,30.694468,76.717375,2024-04-02,0:00,0,Tuesday,0,rural,3,0,fog,low,26,low,overspeeding,major,4,1,0,,0.45
64,Nagpur,Maharashtra,21.154763,79.080678,2024-08-17,23:00,23,Saturday,1,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,0,,0.45
65,Mumbai,Maharashtra,19.082928,72.883007,2023-12-11,7:00,7,Monday,0,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,0,,0.45
66,Jodhpur,Rajasthan,26.235757,73.025343,2022-09-22,10:00,10,Thursday,0,highway,1,1,clear,high,21,high,poor road,major,2,2,1,,0.45
67,Hyderabad,Telangana,17.377487,78.4793,2022-02-27,5:00,5,Sunday,1,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,0,,0.65
68,Rajkot,Gujarat,22.312671,70.807702,2024-04-23,21:00,21,Tuesday,0,rural,4,0,clear,high,36,high,distraction,major,3,1,0,,0.3
69,Kurnool,Andhra Pradesh,15.832148,78.036576,2023-05-26,6:00,6,Friday,0,highway,6,1,fog,low,34,low,poor road,major,1,1,0,,0.45
70,Dibrugarh,Assam,27.468186,94.91901,2024-11-26,19:00,19,Tuesday,0,highway,2,1,fog,low,38,low,poor road,minor,3,3,1,,0.6
71,Gaya,Bihar,24.804214,85.000512,2024-03-03,14:00,14,Sunday,1,urban,4,0,fog,low,19,high,drunk driving,major,2,2,0,,0.65
72,Itanagar,Arunachal Pradesh,27.095439,93.606029,2023-03-24,11:00,11,Friday,0,highway,2,1,clear,high,21,high,weather,fatal,5,5,0,,0.5
73,Leh,Ladakh,34.162591,77.56564,2022-09-21,6:00,6,Wednesday,0,rural,1,1,rain,low,19,low,distraction,fatal,1,1,0,,0.65
74,Karimnagar,Telangana,18.432021,79.119415,2024-02-25,13:00,13,Sunday,1,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,0,,0.45
75,Shimla,Himachal Pradesh,31.098595,77.178138,2022-05-02,19:00,19,Monday,0,urban,1,1,clear,high,23,high,weather,minor,4,0,1,,0.45
76,Bhopal,Madhya Pradesh,23.26035,77.42053,2023-09-05,6:00,6,Tuesday,0,urban,4,1,rain,low,39,low,poor road,minor,2,1,0,,0.45
77,Kochi,Kerala,9.92581,76.272712,2025-04-14,5:00,5,Monday,0,urban,4,1,fog,low,39,high,drunk driving,minor,2,0,0,,0.65
78,Salem,Tamil Nadu,11.655522,78.148642,2023-03-28,15:00,15,Tuesday,0,urban,2,1,fog,low,27,high,poor road,fatal,5,5,0,,0.85
79,Hubli,Karnataka,15.369433,75.128168,2025-01-31,21:00,21,Friday,0,urban,6,1,fog,low,19,high,poor road,minor,3,1,0,,0.65
80,Indore,Madhya Pradesh,22.715758,75.852653,2024-03-01,14:00,14,Friday,0,highway,6,0,rain,medium,36,medium,drunk driving,major,3,1,0,,0.25
81,Kolkata,West Bengal,22.575938,88.375735,2024-06-14,6:00,6,Friday,0,highway,2,0,rain,medium,37,medium,overspeeding,minor,3,0,0,,0.25
82,Sambalpur,Odisha,21.461893,83.974111,2024-11-05,22:00,22,Tuesday,0,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,0,,0.45
83,Bhubaneswar,Odisha,20.289287,85.835774,2022-04-11,0:00,0,Monday,0,rural,1,1,rain,medium,38,low,weather,major,3,0,0,,0.25
84,Thiruvananthapuram,Kerala,8.531875,76.929264,2023-04-21,3:00,3,Friday,0,urban,5,1,fog,low,40,low,weather,major,2,2,0,,0.45
85,Kolkata,West Bengal,22.573229,88.365991,2025-01-23,17:00,17,Thursday,0,highway,2,0,fog,low,36,medium,weather,major,3,2,1,,0.6
86,Haridwar,Uttarakhand,29.954904,78.155132,2023-12-07,14:00,14,Thursday,0,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,0,,0.45
87,Haldwani,Uttarakhand,29.223783,79.520361,2024-04-24,6:00,6,Wednesday,0,highway,1,0,rain,low,30,low,poor road,minor,5,5,0,,0.45
88,Mumbai,Maharashtra,19.083343,72.867861,2022-09-28,4:00,4,Wednesday,0,highway,3,0,fog,low,19,low,distraction,minor,5,4,0,,0.45
89,Mumbai,Maharashtra,19.081071,72.876614,2025-02-16,22:00,22,Sunday,1,highway,3,0,clear,high,24,high,distraction,minor,2,1,0,,0.3
90,Ludhiana,Punjab,30.900195,75.866386,2022-09-24,2:00,2,Saturday,1,urban,3,1,rain,medium,20,medium,weather,major,1,1,0,,0.25
91,Hubli,Karnataka,15.355671,75.11316,2022-10-14,23:00,23,Friday,0,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,0,,0.45
92,Pune,Maharashtra,18.531814,73.850486,2024-11-14,5:00,5,Thursday,0,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,0,,0.65
93,Kolkata,West Bengal,22.562794,88.368191,2025-03-14,9:00,9,Friday,0,rural,1,1,fog,low,18,high,poor road,minor,5,5,1,,0.8
94,Pune,Maharashtra,18.520222,73.847933,2023-09-19,18:00,18,Tuesday,0,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,1,,0.8
95,Ramagundam,Telangana,18.806757,79.456887,2024-06-06,22:00,22,Thursday,0,urban,4,0,fog,low,35,medium,poor road,major,4,4,0,,0.45
96,Patiala,Punjab,30.328741,76.38466,2022-09-05,2:00,2,Monday,0,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,0,,0.1
97,Rourkela,Odisha,22.249234,84.843444,2024-08-03,7:00,7,Saturday,1,rural,4,0,clear,high,27,medium,weather,major,3,0,0,,0.1
98,Thiruvananthapuram,Kerala,8.514113,76.942601,2023-03-22,17:00,17,Wednesday,0,highway,4,0,clear,high,16,medium,distraction,major,4,4,1,,0.25
99,Jammu,Jammu and Kashmir,32.732872,74.85692,2022-04-17,6:00,6,Sunday,1,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,0,,0.45
100,Guntur,Andhra Pradesh,16.317781,80.448294,2023-08-05,18:00,18,Saturday,1,urban,2,1,fog,low,36,high,poor road,minor,4,2,1,,0.8
101,Kolkata,West Bengal,22.562887,88.374958,2023-07-16,23:00,23,Sunday,1,highway,5,1,rain,low,40,high,distraction,minor,3,1,0,,0.65
102,Visakhapatnam,Andhra Pradesh,17.695401,83.225194,2023-04-24,12:00,12,Monday,0,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,0,,0.45
103,Ahmedabad,Gujarat,23.027787,72.571987,2022-10-26,7:00,7,Wednesday,0,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,0,,0.1
104,Ghaziabad,Uttar Pradesh,28.657401,77.463676,2023-12-10,20:00,20,Sunday,1,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,0,,0.1
105,Itanagar,Arunachal Pradesh,27.077409,93.593938,2024-12-09,20:00,20,Monday,0,highway,2,1,rain,low,23,low,drunk driving,major,1,0,0,,0.45
106,Junagadh,Gujarat,21.529656,70.459966,2024-03-01,13:00,13,Friday,0,highway,4,1,fog,low,39,low,distraction,minor,5,1,0,,0.45
107,Coimbatore,Tamil Nadu,11.01283,76.953761,2023-11-22,22:00,22,Wednesday,0,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,0,,0.25
108,Surat,Gujarat,21.171394,72.839202,2023-12-20,4:00,4,Wednesday,0,rural,6,0,clear,high,29,medium,weather,minor,2,1,0,,0.1
109,Jamshedpur,Jharkhand,22.805173,86.191215,2024-02-03,2:00,2,Saturday,1,rural,1,0,rain,low,27,high,poor road,minor,1,0,0,,0.65
110,Guntur,Andhra Pradesh,16.311222,80.432512,2024-11-19,16:00,16,Tuesday,0,rural,1,0,clear,high,34,low,distraction,minor,5,5,0,,0.1
111,Silchar,Assam,24.836584,92.778836,2025-02-15,8:00,8,Saturday,1,urban,4,0,rain,low,31,high,poor road,minor,3,0,1,,0.8
112,Thane,Maharashtra,19.223802,72.985853,2022-09-07,20:00,20,Wednesday,0,highway,2,0,fog,low,17,low,drunk driving,major,5,2,0,,0.45
113,Srinagar,Jammu and Kashmir,34.086006,74.808349,2024-07-07,9:00,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,1,,0.25
114,Kochi,Kerala,9.94099,76.2773,2024-08-31,15:00,15,Saturday,1,rural,6,0,fog,low,31,medium,weather,fatal,1,1,0,,0.65
115,Faridabad,Haryana,28.418075,77.322123,2022-02-12,11:00,11,Saturday,1,rural,4,1,rain,low,17,high,distraction,minor,3,1,0,,0.65
116,Mumbai,Maharashtra,19.073402,72.880334,2023-11-23,5:00,5,Thursday,0,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,0,,0.65
117,Bilaspur (HP),Himachal Pradesh,31.326399,76.769261,2022-04-20,22:00,22,Wednesday,0,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,0,,0.65
118,Gurugram,Haryana,28.44933,77.029089,2023-06-09,13:00,13,Friday,0,urban,3,0,rain,low,18,low,poor road,minor,1,1,0,,0.45
119,Rajkot,Gujarat,22.311304,70.8111,2024-11-28,19:00,19,Thursday,0,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,1,,0.6
120,Ludhiana,Punjab,30.904343,75.859101,2023-06-23,14:00,14,Friday,0,rural,3,0,clear,high,20,high,drunk driving,major,4,0,0,,0.3
121,Davanagere,Karnataka,14.455013,75.916814,2024-09-07,11:00,11,Saturday,1,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,0,,0.25
122,Jaipur,Rajasthan,26.905952,75.788017,2022-11-08,17:00,17,Tuesday,0,highway,5,0,clear,high,16,high,weather,major,4,1,1,,0.45
123,Warangal,Telangana,17.974631,79.582733,2022-09-02,13:00,13,Friday,0,urban,4,1,clear,high,25,low,poor road,major,3,1,0,,0.1
124,Raipur,Chhattisgarh,21.242743,81.641526,2022-09-09,0:00,0,Friday,0,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,0,,0.45
125,Raipur,Chhattisgarh,21.244073,81.637159,2024-07-14,13:00,13,Sunday,1,urban,5,1,fog,low,38,medium,weather,minor,4,3,0,,0.45
126,Ranchi,Jharkhand,23.335884,85.302774,2023-10-24,22:00,22,Tuesday,0,rural,4,0,clear,high,36,low,distraction,major,3,3,0,,0.1
127,Mumbai,Maharashtra,19.078447,72.869249,2022-06-12,23:00,23,Sunday,1,urban,1,0,rain,low,17,medium,poor road,major,3,1,0,,0.45
128,Jamshedpur,Jharkhand,22.798363,86.1975,2022-12-05,13:00,13,Monday,0,rural,4,1,clear,high,20,medium,distraction,major,2,2,0,,0.1
129,Coimbatore,Tamil Nadu,11.012905,76.945642,2023-04-12,15:00,15,Wednesday,0,highway,3,0,fog,low,31,low,weather,minor,1,1,0,,0.45
130,Bhilai,Chhattisgarh,21.187924,81.339776,2022-07-06,20:00,20,Wednesday,0,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,0,,0.25
131,Chennai,Tamil Nadu,13.088604,80.276237,2024-01-17,5:00,5,Wednesday,0,urban,1,0,fog,low,24,high,poor road,minor,4,2,0,,0.65
132,Dimapur,Nagaland,25.900121,93.727867,2022-06-27,15:00,15,Monday,0,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,0,,0.45
133,Aurangabad,Maharashtra,19.886776,75.332328,2025-01-21,3:00,3,Tuesday,0,highway,2,0,clear,high,31,low,drunk driving,major,3,0,0,,0.1
134,Nongpoh,Meghalaya,25.899004,91.86891,2023-10-30,19:00,19,Monday,0,highway,3,0,rain,medium,34,medium,poor road,major,4,3,1,,0.4
135,Bilaspur,Chhattisgarh,22.086009,82.132804,2023-09-24,20:00,20,Sunday,1,highway,3,1,rain,medium,25,high,weather,fatal,5,5,0,,0.65
136,Nagpur,Maharashtra,21.156254,79.086488,2023-07-08,12:00,12,Saturday,1,highway,5,1,clear,high,28,high,poor road,minor,3,2,0,,0.3
137,Kanpur,Uttar Pradesh,26.461091,80.33775,2023-07-23,0:00,0,Sunday,1,highway,5,0,rain,low,17,low,distraction,major,1,0,0,,0.45
138,Gurugram,Haryana,28.459964,77.016904,2022-11-28,4:00,4,Monday,0,highway,2,0,clear,high,20,high,weather,minor,5,2,0,,0.3
139,Thiruvananthapuram,Kerala,8.530012,76.934836,2024-02-13,10:00,10,Tuesday,0,highway,3,1,fog,low,30,high,weather,major,3,0,1,,0.8
140,Tura,Meghalaya,25.522517,90.230632,2024-09-21,8:00,8,Saturday,1,urban,4,0,rain,low,32,high,poor road,major,1,0,1,,0.8
141,Ambikapur,Chhattisgarh,23.132152,83.196296,2024-11-23,22:00,22,Saturday,1,highway,4,1,rain,medium,17,medium,drunk driving,minor,4,4,0,,0.25
142,Davanagere,Karnataka,14.453729,75.931038,2024-10-22,21:00,21,Tuesday,0,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,0,,0.65
143,Ranchi,Jharkhand,23.340772,85.307148,2023-12-27,21:00,21,Wednesday,0,rural,3,0,rain,medium,29,high,distraction,minor,1,0,0,,0.45
144,Puri,Odisha,19.816078,85.838836,2022-06-05,6:00,6,Sunday,1,urban,3,1,clear,high,38,medium,drunk driving,minor,3,3,0,,0.1
145,Dwarka,Delhi,28.588606,77.047271,2023-01-27,15:00,15,Friday,0,highway,2,0,clear,high,28,low,distraction,major,2,1,0,,0.1
146,Ghaziabad,Uttar Pradesh,28.673638,77.443544,2022-05-06,7:00,7,Friday,0,highway,5,0,fog,low,15,high,weather,major,1,0,0,,0.65
147,Patna,Bihar,25.604667,85.130708,2024-07-31,1:00,1,Wednesday,0,urban,5,0,rain,medium,26,low,weather,minor,2,0,0,,0.25
148,Bhubaneswar,Odisha,20.306967,85.830922,2023-10-19,11:00,11,Thursday,0,rural,4,1,rain,low,30,low,distraction,minor,3,2,0,,0.45
149,Hyderabad,Telangana,17.379097,78.482873,2022-10-05,2:00,2,Wednesday,0,urban,4,1,rain,low,35,low,weather,major,5,2,0,,0.45
150,Kanpur,Uttar Pradesh,26.439149,80.330215,2023-11-04,21:00,21,Saturday,1,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,0,,0.45
151,Darjeeling,West Bengal,27.042207,88.26117,2022-11-06,22:00,22,Sunday,1,rural,6,0,clear,high,33,low,poor road,fatal,5,5,0,,0.3
152,Mumbai,Maharashtra,19.066611,72.880733,2024-04-25,3:00,3,Thursday,0,highway,6,1,rain,medium,25,low,poor road,fatal,1,1,0,,0.45
153,Jalandhar,Punjab,31.325646,75.582513,2024-07-23,14:00,14,Tuesday,0,urban,3,1,rain,medium,26,medium,weather,minor,5,0,0,,0.25
154,Warangal,Telangana,17.98186,79.585522,2022-12-23,12:00,12,Friday,0,rural,5,1,fog,low,33,medium,poor road,fatal,3,3,0,,0.65
155,Sambalpur,Odisha,21.459961,83.981788,2022-03-28,10:00,10,Monday,0,urban,6,0,clear,high,35,high,weather,fatal,2,2,1,,0.65
156,Amritsar,Punjab,31.628331,74.878292,2023-02-04,7:00,7,Saturday,1,urban,5,0,fog,low,32,medium,drunk driving,minor,1,1,0,,0.45
157,Kanpur,Uttar Pradesh,26.438868,80.32571,2024-09-15,22:00,22,Sunday,1,rural,1,0,fog,low,19,high,distraction,major,4,2,0,,0.65
158,Gurugram,Haryana,28.469013,77.014719,2023-02-25,3:00,3,Saturday,1,rural,6,1,clear,high,27,high,distraction,minor,4,3,0,,0.3
159,Pune,Maharashtra,18.521067,73.855438,2025-01-09,8:00,8,Thursday,0,highway,5,0,clear,high,33,low,distraction,major,1,1,1,,0.25
160,Shimla,Himachal Pradesh,31.097458,77.168563,2022-05-17,20:00,20,Tuesday,0,urban,4,0,fog,low,17,high,poor road,fatal,1,1,0,,0.85
161,Dhanbad,Jharkhand,23.795145,86.434411,2025-01-31,1:00,1,Friday,0,rural,3,1,fog,low,35,low,overspeeding,major,2,0,0,,0.45
162,Dwarka,Delhi,28.583507,77.059449,2023-05-20,11:00,11,Saturday,1,rural,1,1,rain,low,19,low,poor road,major,5,1,0,,0.45
163,Visakhapatnam,Andhra Pradesh,17.678076,83.207607,2023-03-24,18:00,18,Friday,0,rural,5,1,clear,high,21,medium,poor road,major,5,5,1,,0.25
164,Guwahati,Assam,26.13811,91.733183,2022-05-06,0:00,0,Friday,0,rural,2,1,rain,low,37,low,drunk driving,minor,4,0,0,,0.45
165,Patna,Bihar,25.599473,85.126882,2022-04-12,7:00,7,Tuesday,0,highway,1,1,fog,low,17,high,weather,major,4,3,0,,0.65
166,Lucknow,Uttar Pradesh,26.850709,80.945037,2025-03-30,4:00,4,Sunday,1,rural,4,0,rain,low,16,medium,drunk driving,fatal,5,5,0,,0.65
167,Noida,Uttar Pradesh,28.540155,77.393536,2022-12-22,17:00,17,Thursday,0,urban,1,1,clear,high,33,medium,poor road,fatal,5,5,1,,0.45
168,Bangalore,Karnataka,12.96074,77.591438,2022-01-21,18:00,18,Friday,0,urban,3,1,clear,high,29,high,poor road,minor,2,1,1,,0.45
169,Ram Darbar,Chandigarh,30.693747,76.795881,2022-01-22,7:00,7,Saturday,1,highway,5,1,rain,low,37,low,drunk driving,minor,4,3,0,,0.45
170,Nizamabad,Telangana,18.679779,78.088958,2022-09-18,6:00,6,Sunday,1,highway,6,1,rain,low,38,medium,drunk driving,fatal,4,4,0,,0.65
171,Noida,Uttar Pradesh,28.527863,77.379379,2022-09-02,21:00,21,Friday,0,highway,1,1,fog,low,37,low,drunk driving,minor,4,0,0,,0.45
